package,kind,V1_typosquatting,V2_install_execution,V3_obfuscation,V4_command_execution,V5_insecure_deserialization,V6_encoding,V7_network_exfiltration
builderknower,archive,0,1,0,1,0,0,1
esqgamemaskultra,archive,0,0,0,1,0,0,0
reqquests-toolbelt,archive,1,0,0,0,0,0,0
ccinfo,archive,1,0,0,1,0,0,0
discmusic,archive,0,0,0,1,0,0,1
filename,archive,0,0,0,1,0,1,1
libpipcvpip,dir,0,0,0,1,0,0,0
pilpow,archive,1,1,0,1,0,0,1
py-pingstringpaypal,archive,1,0,0,1,0,0,0
libosintguiram,archive,0,0,0,1,0,0,0
pypackscate,archive,0,0,0,1,0,1,1
figlets,dir,0,0,0,0,0,0,1
libvisasupergrand,archive,0,0,0,1,0,0,0
veriftest1asdlaaa,dir,0,1,0,1,0,0,1
libproofsuper,archive,0,0,0,1,0,0,0
tpcpuencodecc,archive,0,0,0,1,0,0,0
ultrapy,archive,0,0,0,1,0,0,0
py-vminfo,archive,1,0,0,1,0,0,0
duonet,archive,0,0,0,1,0,0,1
pystyl,archive,1,0,0,1,0,1,1
bitcoilib,archive,0,0,0,0,0,0,0
reencode,archive,0,0,0,1,0,0,0
aiogram-3,archive,1,0,0,1,0,0,1
randpush,archive,0,0,0,1,0,0,0
kube-health,dir,0,0,0,1,0,0,0
artifact-lab,dir,0,0,0,0,0,1,1
miantestone,dir,0,1,0,0,0,0,1
bytedtrace,archive,0,0,0,0,0,0,1
libosintinfo,archive,0,0,0,1,0,0,0
selfosinturlre,archive,0,0,0,1,0,0,0
beautifulosup,archive,0,0,0,0,0,0,0
selftoolram,archive,0,0,0,1,0,0,0
typesutil,archive,0,0,0,1,0,0,1
tpadtoolmc,archive,0,0,0,1,0,0,0
esqsupervirtualpy,archive,0,0,0,1,0,0,0
lr-utils-lib,archive,1,1,0,1,0,1,1
esqcraftkilllib,archive,0,0,0,1,0,0,0
roblox-mod,archive,0,1,0,1,0,0,1
